Column Name,Description,Data Type,Allowed Values,Data Coding
hhid9,Household identifier (wave 9),Numeric,,
mergeidp9,Partner identifier (wave 9),Numeric,,
coupleid9,Couple identifier (wave 9),Numeric,,
country,Country identifier,Categorical,"11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 23, 25, 28, 29, 30, 31, 32, 33, 34, 35, 47, 48, 51, 53, 55, 57, 59, 61, 63",11=Austria; 12=Germany; 13=Sweden; 14=Netherlands; 15=Spain; 16=Italy; 17=France; 18=Denmark; 19=Greece; 20=Switzerland; 23=Belgium; 25=Israel; 28=Czech Republic; 29=Poland; 30=Ireland; 31=Luxembourg; 32=Hungary; 33=Portugal; 34=Slovenia; 35=Estonia; 47=Croatia; 48=Lithuania; 51=Bulgaria; 53=Cyprus; 55=Finland; 57=Latvia; 59=Malta; 61=Romania; 63=Slovakia; 11=Austria; 12=Germany; 13=Sweden; 14=Netherlands; 15=Spain; 16=Italy; 17=France; 18=Denmark; 19=Greece; 20=Switzerland; 23=Belgium; 25=Israel; 28=Czech Republic; 29=Poland; 30=Ireland; 31=Luxembourg; 32=Hungary; 33=Portugal; 34=Slovenia; 35=Estonia; 47=Croatia; 48=Lithuania; 51=Bulgaria; 53=Cyprus; 55=Finland; 57=Latvia; 59=Malta; 61=Romania; 63=Slovakia; 11=Austria; 12=Germany; 13=Sweden; 14=Netherlands; 15=Spain; 16=Italy; 17=France; 18=Denmark; 19=Greece; 20=Switzerland; 23=Belgium; 25=Israel; 28=Czech Republic; 29=Poland; 30=Ireland; 31=Luxembourg; 32=Hungary; 33=Portugal; 34=Slovenia; 35=Estonia; 47=Croatia; 48=Lithuania; 51=Bulgaria; 53=Cyprus; 55=Finland; 57=Latvia; 59=Malta; 61=Romania; 63=Slovakia; 11=Austria; 12=Germany; 13=Sweden; 14=Netherlands; 15=Spain; 16=Italy; 17=France; 18=Denmark; 19=Greece; 20=Switzerland; 23=Belgium; 25=Israel; 28=Czech Republic; 29=Poland; 30=Ireland; 31=Luxembourg; 32=Hungary; 33=Portugal; 34=Slovenia; 35=Estonia; 47=Croatia; 48=Lithuania; 51=Bulgaria; 53=Cyprus; 55=Finland; 57=Latvia; 59=Malta; 61=Romania; 63=Slovakia; 11=Austria; 12=Germany; 13=Sweden; 14=Netherlands; 15=Spain; 16=Italy; 17=France; 18=Denmark; 19=Greece; 20=Switzerland; 23=Belgium; 25=Israel; 28=Czech Republic; 29=Poland; 30=Ireland; 31=Luxembourg; 32=Hungary; 33=Portugal; 34=Slovenia; 35=Estonia; 47=Croatia; 48=Lithuania; 51=Bulgaria; 53=Cyprus; 55=Finland; 57=Latvia; 59=Malta; 61=Romania; 63=Slovakia; 11=Austria; 12=Germany; 13=Sweden; 14=Netherlands; 15=Spain; 16=Italy; 17=France; 18=Denmark; 19=Greece; 20=Switzerland; 23=Belgium; 25=Israel; 28=Czech Republic; 29=Poland; 30=Ireland; 31=Luxembourg; 32=Hungary; 33=Portugal; 34=Slovenia; 35=Estonia; 47=Croatia; 48=Lithuania; 51=Bulgaria; 53=Cyprus; 55=Finland; 57=Latvia; 59=Malta; 61=Romania; 63=Slovakia; 11=Austria; 12=Germany; 13=Sweden; 14=Netherlands; 15=Spain; 16=Italy; 17=France; 18=Denmark; 19=Greece; 20=Switzerland; 23=Belgium; 25=Israel; 28=Czech Republic; 29=Poland; 30=Ireland; 31=Luxembourg; 32=Hungary; 33=Portugal; 34=Slovenia; 35=Estonia; 47=Croatia; 48=Lithuania; 51=Bulgaria; 53=Cyprus; 55=Finland; 57=Latvia; 59=Malta; 61=Romania; 63=Slovakia; 11=Austria; 12=Germany; 13=Sweden; 14=Netherlands; 15=Spain; 16=Italy; 17=France; 18=Denmark; 19=Greece; 20=Switzerland; 23=Belgium; 25=Israel; 28=Czech Republic; 29=Poland; 30=Ireland; 31=Luxembourg; 32=Hungary; 33=Portugal; 34=Slovenia; 35=Estonia; 47=Croatia; 48=Lithuania; 51=Bulgaria; 53=Cyprus; 55=Finland; 57=Latvia; 59=Malta; 61=Romania; 63=Slovakia; 11=Austria; 12=Germany; 13=Sweden; 14=Netherlands; 15=Spain; 16=Italy; 17=France; 18=Denmark; 19=Greece; 20=Switzerland; 23=Belgium; 25=Israel; 28=Czech Republic; 29=Poland; 30=Ireland; 31=Luxembourg; 32=Hungary; 33=Portugal; 34=Slovenia; 35=Estonia; 47=Croatia; 48=Lithuania; 51=Bulgaria; 53=Cyprus; 55=Finland; 57=Latvia; 59=Malta; 61=Romania; 63=Slovakia
language,Language of questionnaire,Categorical,"11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 47, 48, 51, 53, 55, 56, 57, 58, 59, 60, 61, 63, 65","11=German (at); 12=German (de); 13=Swedish; 14=Dutch (nl); 15=Spanish; 16=Italian (it); 17=French (fr); 18=Danish; 19=Greek; 20=German (ch); 21=French (ch); 22=Italian (ch); 23=French (be); 24=Flemish (be); 25=Hebrew (il); 26=Arabic (il); 27=Russian (il); 28=Czech; 29=Polish; 30=English (ie); 31=Luxembourgian, French, German or Portuguese; 32=Hungarian; 33=Portuguese; 34=Slovenian; 35=Estonian or Russian (ee); 36=Estonian (ee); 37=Russian (ee); 38=Spanish or Catalan (eg); 39=Catalan (eg); 40=Spanish (eg); 41=French (lu); 42=German (lu); 43=Portuguese (lu); 44=French or German (lu); 45=French or German or Portuguese (lu); 47=Croatian; 48=Lithuanian; 51=Bulgarian; 53=Greek (cy); 55=Finnish; 56=Swedish (fi); 57=Latvian; 58=Russian (lv); 59=Maltese; 60=English (mt); 61=Romanian; 63=Slovakian; 65=Catalan (es); 11=German (at); 12=German (de); 13=Swedish; 14=Dutch (nl); 15=Spanish; 16=Italian (it); 17=French (fr); 18=Danish; 19=Greek; 20=German (ch); 21=French (ch); 22=Italian (ch); 23=French (be); 24=Flemish (be); 25=Hebrew (il); 26=Arabic (il); 27=Russian (il); 28=Czech; 29=Polish; 30=English (ie); 31=Luxembourgian, French, German or Portuguese; 32=Hungarian; 33=Portuguese; 34=Slovenian; 35=Estonian or Russian (ee); 36=Estonian (ee); 37=Russian (ee); 38=Spanish or Catalan (eg); 39=Catalan (eg); 40=Spanish (eg); 41=French (lu); 42=German (lu); 43=Portuguese (lu); 44=French or German (lu); 45=French or German or Portuguese (lu); 47=Croatian; 48=Lithuanian; 51=Bulgarian; 53=Greek (cy); 55=Finnish; 56=Swedish (fi); 57=Latvian; 58=Russian (lv); 59=Maltese; 60=English (mt); 61=Romanian; 63=Slovakian; 65=Catalan (es); 11=German (at); 12=German (de); 13=Swedish; 14=Dutch (nl); 15=Spanish; 16=Italian (it); 17=French (fr); 18=Danish; 19=Greek; 20=German (ch); 21=French (ch); 22=Italian (ch); 23=French (be); 24=Flemish (be); 25=Hebrew (il); 26=Arabic (il); 27=Russian (il); 28=Czech; 29=Polish; 30=English (ie); 31=Luxembourgian, French, German or Portuguese; 32=Hungarian; 33=Portuguese; 34=Slovenian; 35=Estonian or Russian (ee); 36=Estonian (ee); 37=Russian (ee); 38=Spanish or Catalan (eg); 39=Catalan (eg); 40=Spanish (eg); 41=French (lu); 42=German (lu); 43=Portuguese (lu); 44=French or German (lu); 45=French or German or Portuguese (lu); 47=Croatian; 48=Lithuanian; 51=Bulgarian; 53=Greek (cy); 55=Finnish; 56=Swedish (fi); 57=Latvian; 58=Russian (lv); 59=Maltese; 60=English (mt); 61=Romanian; 63=Slovakian; 65=Catalan (es); 11=German (at); 12=German (de); 13=Swedish; 14=Dutch (nl); 15=Spanish; 16=Italian (it); 17=French (fr); 18=Danish; 19=Greek; 20=German (ch); 21=French (ch); 22=Italian (ch); 23=French (be); 24=Flemish (be); 25=Hebrew (il); 26=Arabic (il); 27=Russian (il); 28=Czech; 29=Polish; 30=English (ie); 31=Luxembourgian, French, German or Portuguese; 32=Hungarian; 33=Portuguese; 34=Slovenian; 35=Estonian or Russian (ee); 36=Estonian (ee); 37=Russian (ee); 38=Spanish or Catalan (eg); 39=Catalan (eg); 40=Spanish (eg); 41=French (lu); 42=German (lu); 43=Portuguese (lu); 44=French or German (lu); 45=French or German or Portuguese (lu); 47=Croatian; 48=Lithuanian; 51=Bulgarian; 53=Greek (cy); 55=Finnish; 56=Swedish (fi); 57=Latvian; 58=Russian (lv); 59=Maltese; 60=English (mt); 61=Romanian; 63=Slovakian; 65=Catalan (es); 11=German (at); 12=German (de); 13=Swedish; 14=Dutch (nl); 15=Spanish; 16=Italian (it); 17=French (fr); 18=Danish; 19=Greek; 20=German (ch); 21=French (ch); 22=Italian (ch); 23=French (be); 24=Flemish (be); 25=Hebrew (il); 26=Arabic (il); 27=Russian (il); 28=Czech; 29=Polish; 30=English (ie); 31=Luxembourgian, French, German or Portuguese; 32=Hungarian; 33=Portuguese; 34=Slovenian; 35=Estonian or Russian (ee); 36=Estonian (ee); 37=Russian (ee); 38=Spanish or Catalan (eg); 39=Catalan (eg); 40=Spanish (eg); 41=French (lu); 42=German (lu); 43=Portuguese (lu); 44=French or German (lu); 45=French or German or Portuguese (lu); 47=Croatian; 48=Lithuanian; 51=Bulgarian; 53=Greek (cy); 55=Finnish; 56=Swedish (fi); 57=Latvian; 58=Russian (lv); 59=Maltese; 60=English (mt); 61=Romanian; 63=Slovakian; 65=Catalan (es); 11=German (at); 12=German (de); 13=Swedish; 14=Dutch (nl); 15=Spanish; 16=Italian (it); 17=French (fr); 18=Danish; 19=Greek; 20=German (ch); 21=French (ch); 22=Italian (ch); 23=French (be); 24=Flemish (be); 25=Hebrew (il); 26=Arabic (il); 27=Russian (il); 28=Czech; 29=Polish; 30=English (ie); 31=Luxembourgian, French, German or Portuguese; 32=Hungarian; 33=Portuguese; 34=Slovenian; 35=Estonian or Russian (ee); 36=Estonian (ee); 37=Russian (ee); 38=Spanish or Catalan (eg); 39=Catalan (eg); 40=Spanish (eg); 41=French (lu); 42=German (lu); 43=Portuguese (lu); 44=French or German (lu); 45=French or German or Portuguese (lu); 47=Croatian; 48=Lithuanian; 51=Bulgarian; 53=Greek (cy); 55=Finnish; 56=Swedish (fi); 57=Latvian; 58=Russian (lv); 59=Maltese; 60=English (mt); 61=Romanian; 63=Slovakian; 65=Catalan (es); 11=German (at); 12=German (de); 13=Swedish; 14=Dutch (nl); 15=Spanish; 16=Italian (it); 17=French (fr); 18=Danish; 19=Greek; 20=German (ch); 21=French (ch); 22=Italian (ch); 23=French (be); 24=Flemish (be); 25=Hebrew (il); 26=Arabic (il); 27=Russian (il); 28=Czech; 29=Polish; 30=English (ie); 31=Luxembourgian, French, German or Portuguese; 32=Hungarian; 33=Portuguese; 34=Slovenian; 35=Estonian or Russian (ee); 36=Estonian (ee); 37=Russian (ee); 38=Spanish or Catalan (eg); 39=Catalan (eg); 40=Spanish (eg); 41=French (lu); 42=German (lu); 43=Portuguese (lu); 44=French or German (lu); 45=French or German or Portuguese (lu); 47=Croatian; 48=Lithuanian; 51=Bulgarian; 53=Greek (cy); 55=Finnish; 56=Swedish (fi); 57=Latvian; 58=Russian (lv); 59=Maltese; 60=English (mt); 61=Romanian; 63=Slovakian; 65=Catalan (es); 11=German (at); 12=German (de); 13=Swedish; 14=Dutch (nl); 15=Spanish; 16=Italian (it); 17=French (fr); 18=Danish; 19=Greek; 20=German (ch); 21=French (ch); 22=Italian (ch); 23=French (be); 24=Flemish (be); 25=Hebrew (il); 26=Arabic (il); 27=Russian (il); 28=Czech; 29=Polish; 30=English (ie); 31=Luxembourgian, French, German or Portuguese; 32=Hungarian; 33=Portuguese; 34=Slovenian; 35=Estonian or Russian (ee); 36=Estonian (ee); 37=Russian (ee); 38=Spanish or Catalan (eg); 39=Catalan (eg); 40=Spanish (eg); 41=French (lu); 42=German (lu); 43=Portuguese (lu); 44=French or German (lu); 45=French or German or Portuguese (lu); 47=Croatian; 48=Lithuanian; 51=Bulgarian; 53=Greek (cy); 55=Finnish; 56=Swedish (fi); 57=Latvian; 58=Russian (lv); 59=Maltese; 60=English (mt); 61=Romanian; 63=Slovakian; 65=Catalan (es); 11=German (at); 12=German (de); 13=Swedish; 14=Dutch (nl); 15=Spanish; 16=Italian (it); 17=French (fr); 18=Danish; 19=Greek; 20=German (ch); 21=French (ch); 22=Italian (ch); 23=French (be); 24=Flemish (be); 25=Hebrew (il); 26=Arabic (il); 27=Russian (il); 28=Czech; 29=Polish; 30=English (ie); 31=Luxembourgian, French, German or Portuguese; 32=Hungarian; 33=Portuguese; 34=Slovenian; 35=Estonian or Russian (ee); 36=Estonian (ee); 37=Russian (ee); 38=Spanish or Catalan (eg); 39=Catalan (eg); 40=Spanish (eg); 41=French (lu); 42=German (lu); 43=Portuguese (lu); 44=French or German (lu); 45=French or German or Portuguese (lu); 47=Croatian; 48=Lithuanian; 51=Bulgarian; 53=Greek (cy); 55=Finnish; 56=Swedish (fi); 57=Latvian; 58=Russian (lv); 59=Maltese; 60=English (mt); 61=Romanian; 63=Slovakian; 65=Catalan (es)"
areabldgi,Area of building,Categorical,"-2, -1, 1, 2, 3, 4, 5",-2=Refusal; -1=Don't know; 1=A big city; 2=The suburbs or outskirts of a big city; 3=A large town; 4=A small town; 5=A rural area or village
typebldgi6,Type of building (since w6),Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7, 8",-2=Refusal; -1=Don't know; 1=A farm house; 2=A free standing one or two family house; 3=A one or two family house as row or double house; 4=A building with 3 to 8 flats; 5=A building with 9 or more flats but no more than 8 floors; 6=A high-rise with 9 or more floors; 7=A housing complex with services for elderly; 8=A nursing home
nstepsi,Number of steps to entrance,Categorical,"-2, -1, 1, 2, 3, 4",-2=Refusal; -1=Don't know; 1=Up to 5; 2=6 to 15; 3=16 to 25; 4=More than 25
nuts1_2016,NUTS 2016 level 1: nomenclature of territorial units for statistics,Numeric,,
exrate,Exchange rate 1 euro,Numeric,,
