feature,value,label,source_file,topic,wave
country,11,Austria,sharew9_rel9-0-0_ho.sav,housing,w9
country,12,Germany,sharew9_rel9-0-0_ho.sav,housing,w9
country,13,Sweden,sharew9_rel9-0-0_ho.sav,housing,w9
country,14,Netherlands,sharew9_rel9-0-0_ho.sav,housing,w9
country,15,Spain,sharew9_rel9-0-0_ho.sav,housing,w9
country,16,Italy,sharew9_rel9-0-0_ho.sav,housing,w9
country,17,France,sharew9_rel9-0-0_ho.sav,housing,w9
country,18,Denmark,sharew9_rel9-0-0_ho.sav,housing,w9
country,19,Greece,sharew9_rel9-0-0_ho.sav,housing,w9
country,20,Switzerland,sharew9_rel9-0-0_ho.sav,housing,w9
country,23,Belgium,sharew9_rel9-0-0_ho.sav,housing,w9
country,25,Israel,sharew9_rel9-0-0_ho.sav,housing,w9
country,28,Czech Republic,sharew9_rel9-0-0_ho.sav,housing,w9
country,29,Poland,sharew9_rel9-0-0_ho.sav,housing,w9
country,30,Ireland,sharew9_rel9-0-0_ho.sav,housing,w9
country,31,Luxembourg,sharew9_rel9-0-0_ho.sav,housing,w9
country,32,Hungary,sharew9_rel9-0-0_ho.sav,housing,w9
country,33,Portugal,sharew9_rel9-0-0_ho.sav,housing,w9
country,34,Slovenia,sharew9_rel9-0-0_ho.sav,housing,w9
country,35,Estonia,sharew9_rel9-0-0_ho.sav,housing,w9
country,47,Croatia,sharew9_rel9-0-0_ho.sav,housing,w9
country,48,Lithuania,sharew9_rel9-0-0_ho.sav,housing,w9
country,51,Bulgaria,sharew9_rel9-0-0_ho.sav,housing,w9
country,53,Cyprus,sharew9_rel9-0-0_ho.sav,housing,w9
country,55,Finland,sharew9_rel9-0-0_ho.sav,housing,w9
country,57,Latvia,sharew9_rel9-0-0_ho.sav,housing,w9
country,59,Malta,sharew9_rel9-0-0_ho.sav,housing,w9
country,61,Romania,sharew9_rel9-0-0_ho.sav,housing,w9
country,63,Slovakia,sharew9_rel9-0-0_ho.sav,housing,w9
language,11,German (at),sharew9_rel9-0-0_ho.sav,housing,w9
language,12,German (de),sharew9_rel9-0-0_ho.sav,housing,w9
language,13,Swedish,sharew9_rel9-0-0_ho.sav,housing,w9
language,14,Dutch (nl),sharew9_rel9-0-0_ho.sav,housing,w9
language,15,Spanish,sharew9_rel9-0-0_ho.sav,housing,w9
language,16,Italian (it),sharew9_rel9-0-0_ho.sav,housing,w9
language,17,French (fr),sharew9_rel9-0-0_ho.sav,housing,w9
language,18,Danish,sharew9_rel9-0-0_ho.sav,housing,w9
language,19,Greek,sharew9_rel9-0-0_ho.sav,housing,w9
language,20,German (ch),sharew9_rel9-0-0_ho.sav,housing,w9
language,21,French (ch),sharew9_rel9-0-0_ho.sav,housing,w9
language,22,Italian (ch),sharew9_rel9-0-0_ho.sav,housing,w9
language,23,French (be),sharew9_rel9-0-0_ho.sav,housing,w9
language,24,Flemish (be),sharew9_rel9-0-0_ho.sav,housing,w9
language,25,Hebrew (il),sharew9_rel9-0-0_ho.sav,housing,w9
language,26,Arabic (il),sharew9_rel9-0-0_ho.sav,housing,w9
language,27,Russian (il),sharew9_rel9-0-0_ho.sav,housing,w9
language,28,Czech,sharew9_rel9-0-0_ho.sav,housing,w9
language,29,Polish,sharew9_rel9-0-0_ho.sav,housing,w9
language,30,English (ie),sharew9_rel9-0-0_ho.sav,housing,w9
language,31,"Luxembourgian, French, German or Portuguese",sharew9_rel9-0-0_ho.sav,housing,w9
language,32,Hungarian,sharew9_rel9-0-0_ho.sav,housing,w9
language,33,Portuguese,sharew9_rel9-0-0_ho.sav,housing,w9
language,34,Slovenian,sharew9_rel9-0-0_ho.sav,housing,w9
language,35,Estonian or Russian (ee),sharew9_rel9-0-0_ho.sav,housing,w9
language,36,Estonian (ee),sharew9_rel9-0-0_ho.sav,housing,w9
language,37,Russian (ee),sharew9_rel9-0-0_ho.sav,housing,w9
language,38,Spanish or Catalan (eg),sharew9_rel9-0-0_ho.sav,housing,w9
language,39,Catalan (eg),sharew9_rel9-0-0_ho.sav,housing,w9
language,40,Spanish (eg),sharew9_rel9-0-0_ho.sav,housing,w9
language,41,French (lu),sharew9_rel9-0-0_ho.sav,housing,w9
language,42,German (lu),sharew9_rel9-0-0_ho.sav,housing,w9
language,43,Portuguese (lu),sharew9_rel9-0-0_ho.sav,housing,w9
language,44,French or German (lu),sharew9_rel9-0-0_ho.sav,housing,w9
language,45,French or German or Portuguese (lu),sharew9_rel9-0-0_ho.sav,housing,w9
language,47,Croatian,sharew9_rel9-0-0_ho.sav,housing,w9
language,48,Lithuanian,sharew9_rel9-0-0_ho.sav,housing,w9
language,51,Bulgarian,sharew9_rel9-0-0_ho.sav,housing,w9
language,53,Greek (cy),sharew9_rel9-0-0_ho.sav,housing,w9
language,55,Finnish,sharew9_rel9-0-0_ho.sav,housing,w9
language,56,Swedish (fi),sharew9_rel9-0-0_ho.sav,housing,w9
language,57,Latvian,sharew9_rel9-0-0_ho.sav,housing,w9
language,58,Russian (lv),sharew9_rel9-0-0_ho.sav,housing,w9
language,59,Maltese,sharew9_rel9-0-0_ho.sav,housing,w9
language,60,English (mt),sharew9_rel9-0-0_ho.sav,housing,w9
language,61,Romanian,sharew9_rel9-0-0_ho.sav,housing,w9
language,63,Slovakian,sharew9_rel9-0-0_ho.sav,housing,w9
