topic,feature,description,source_file,wave
housing,hhid9,Household identifier (wave 9),sharew9_rel9-0-0_ho.sav,w9
housing,mergeidp9,Partner identifier (wave 9),sharew9_rel9-0-0_ho.sav,w9
housing,coupleid9,Couple identifier (wave 9),sharew9_rel9-0-0_ho.sav,w9
housing,country,Country identifier,sharew9_rel9-0-0_ho.sav,w9
housing,language,Language of questionnaire,sharew9_rel9-0-0_ho.sav,w9
housing,areabldgi,Area of building,sharew9_rel9-0-0_gv_housing.sav,w9
housing,typebldgi6,Type of building (since w6),sharew9_rel9-0-0_gv_housing.sav,w9
housing,nstepsi,Number of steps to entrance,sharew9_rel9-0-0_gv_housing.sav,w9
housing,nuts1_2016,NUTS 2016 level 1: nomenclature of territorial units for statistics,sharew9_rel9-0-0_gv_housing.sav,w9
housing,exrate,Exchange rate 1 euro,sharew9_rel9-0-0_ho.sav,w9
housing,hh001_,Other contributor to household income,sharew9_rel9-0-0_hh.sav,w9
housing,hh010_,Income from other sources,sharew9_rel9-0-0_hh.sav,w9
housing,hh011e,Additional income received by all hh-members last year,sharew9_rel9-0-0_hh.sav,w9
housing,hh011ub,Additional income received by all hh-members last year ub,sharew9_rel9-0-0_hh.sav,w9
housing,hh011v1,Bracket value 1,sharew9_rel9-0-0_hh.sav,w9
housing,hh011v2,Bracket value 2,sharew9_rel9-0-0_hh.sav,w9
housing,hh011v3,Bracket value 3,sharew9_rel9-0-0_hh.sav,w9
housing,hh014_,Who answered the question in hh,sharew9_rel9-0-0_hh.sav,w9
housing,hh017e,Total income received by all hh members an average month last year,sharew9_rel9-0-0_hh.sav,w9
housing,hh017ub,Total income received by all hh-members an average month last year ub,sharew9_rel9-0-0_hh.sav,w9
housing,hh017v1,Bracket value 1,sharew9_rel9-0-0_hh.sav,w9
housing,hh017v2,Bracket value 2,sharew9_rel9-0-0_hh.sav,w9
housing,hh017v3,Bracket value 3,sharew9_rel9-0-0_hh.sav,w9
housing,ho001_,Interview in house of respondent,sharew9_rel9-0-0_ho.sav,w9
housing,ho002_,"Owner, tenant or rent free",sharew9_rel9-0-0_ho.sav,w9
housing,ho003_,Rent payment period,sharew9_rel9-0-0_ho.sav,w9
housing,ho007_,Last rent payment included all charges and services,sharew9_rel9-0-0_ho.sav,w9
housing,ho008e,Amount charges and services,sharew9_rel9-0-0_ho.sav,w9
housing,ho008ub,Amount charges and services ub,sharew9_rel9-0-0_ho.sav,w9
housing,ho008v1,Bracket value 1,sharew9_rel9-0-0_ho.sav,w9
housing,ho008v2,Bracket value 2,sharew9_rel9-0-0_ho.sav,w9
housing,ho008v3,Bracket value 3,sharew9_rel9-0-0_ho.sav,w9
housing,ho010_,More than two months behind with rent,sharew9_rel9-0-0_ho.sav,w9
housing,ho012_,Year acquired property,sharew9_rel9-0-0_ho.sav,w9
housing,ho013_,Mortgages or loans on property,sharew9_rel9-0-0_ho.sav,w9
housing,ho014_,Years left of mortgage or loan,sharew9_rel9-0-0_ho.sav,w9
housing,ho015e,Amount still to pay on mortgage or loan,sharew9_rel9-0-0_ho.sav,w9
housing,ho015ub,Amount still to pay on mortgage or loan ub,sharew9_rel9-0-0_ho.sav,w9
housing,ho015v1,Bracket value 1,sharew9_rel9-0-0_ho.sav,w9
housing,ho015v2,Bracket value 2,sharew9_rel9-0-0_ho.sav,w9
